mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
249563000,MANNA,Bulk Carrier,9HUV9,9304100, Malta,,249563000,VesselFinder
249601000,SATIGNY,Bulk Carrier,9HVQ9,9522738, Malta,,249601000,VesselFinder
249619000,PROUD,Bulk Carrier,9HWA9,9538402, Malta,,249619000,VesselFinder
249648000,MARICHRISTINA,Bulk Carrier,9HWT9,9218789, Malta,,249648000,VesselFinder
249662000,VITASPIRIT,Bulk Carrier,9HZA9,9231377, Malta,,249662000,VesselFinder
249687000,RAPALLO,Bulk Carrier,9HYA9,9413690, Malta,,249687000,VesselFinder
249719000,KARYSTOS,Bulk Carrier,9HYV9,9129627, Malta,,249719000,VesselFinder
249763000,CRUX,Bulk Carrier,9HZX9,9251080, Malta,,249763000,VesselFinder
249806000,OKTEM AKSOY,Bulk Carrier,9HA2015,9282742, Malta,,249806000,VesselFinder
249827000,SEA_ROSE,Bulk Carrier,9HA2027,9115004, Malta,,249827000,VesselFinder
249876000,MARIBELLA,Bulk Carrier,9HA2052,9316672, Malta,,249876000,VesselFinder
249883000,DENSA DOLPHIN,Bulk Carrier,9HA2054,9403190, Malta,,249883000,VesselFinder
249885000,KARVUNA,Bulk Carrier,9HA2055,9468619, Malta,,249885000,VesselFinder
249895000,AROSA,Bulk Carrier,9HA2061,9146974, Malta,,249895000,VesselFinder
249900000,LEVANTO,Bulk Carrier,9HAH9,9216406, Malta,,249900000,VesselFinder
249945000,IOLCOS PRIDE,Bulk Carrier,9HA2089,9425124, Malta,,249945000,VesselFinder
249947000,IOLCOS VISION,Bulk Carrier,9HA2091,9425148, Malta,,249947000,VesselFinder
255804860,REGINA OLDENDORFF,Bulk Carrier,CQLC,9317690, Madeira,,255804860,VesselFinder
256050000,FASSA,Bulk Carrier,9HJN8,9313503, Malta,,256050000,VesselFinder
256054000,SAN FELICE,Bulk Carrier,9HA2811,9416434, Malta,,256054000,VesselFinder
256080000,VENTURA,Bulk Carrier,9HKL8,9346756, Malta,,256080000,VesselFinder
256095000,ALIA R,Bulk Carrier,9HKX8,9149718, Malta,,256095000,VesselFinder
