series,mmsi,source,sourceid,datetime,callsign,class,flag,imo,name
6506,259924000,MarineTraffic.com,259924000,2014-07-24,LAJT7,Vehicles carrier,Norway,9431862,HOEGH SINGAPORE
6505,259917000,MarineTraffic.com,259917000,2014-07-24,LAJS7,Vehicles carrier,Norway,9431850,HOEGH MAPUTO
6504,259901000,MarineTraffic.com,259901000,2014-07-24,LAMW7,Multi purpose offshore vessel,Norway,9166546,NORMAND VESTER
6503,259897000,MarineTraffic.com,259897000,2014-07-24,LAFU5,Lpg tanker,Norway,9173056,CLIPPER VIKING
6502,259895000,MarineTraffic.com,259895000,2014-07-24,LAFU7,Vehicles carrier,Norway,9377523,TIRRANNA
6501,259893000,MarineTraffic.com,259893000,2014-07-24,LCPE,Trawler,Norway,9222390,SILLE MARIE
6500,259887000,MarineTraffic.com,259887000,2014-07-24,LAHJ7,Oil/chemical tanker,Norway,9303651,BOW SANTOS
6499,259861000,MarineTraffic.com,259861000,2014-07-24,LAMR7,Lng tanker,Norway,8125832,WILGAS
6498,259851000,MarineTraffic.com,259851000,2014-07-24,LAHC7,Shuttle tanker,Norway,9216389,VINLAND
6497,259845000,MarineTraffic.com,259845000,2014-07-24,LCNX,Trawler,Norway,9104976,ROTTINGOY
6496,259833000,MarineTraffic.com,259833000,2014-07-24,LAGV7,Crude oil tanker,Norway,9232931,SKS SINNI
6495,259822000,MarineTraffic.com,259822000,2014-07-24,LLWH,Fishing vessel,Norway,9576246,FUGLOYHAV
6494,259818000,MarineTraffic.com,259818000,2014-07-24,LAMQ7,Bulk carrier,Norway,9490820,WESTERN WILTON
6492,259791000,MarineTraffic.com,259791000,2014-07-24,LAGE7,Crude oil tanker,Norway,9364239,STAVANGER BLISS
6491,251259110,MarineTraffic.com,251259110,2014-07-24,TFFK,Fishing vessel,Iceland,6513920,GLOFAXI
6490,251257110,MarineTraffic.com,251257110,2014-07-24,TFPR,Fishing,Iceland,,NUPUR
6489,251255110,MarineTraffic.com,251255110,2014-07-24,TFZU,Fishing vessel,Iceland,6721072,MAGNUS GEIR
6488,251254000,MarineTraffic.com,251254000,2014-07-24,TFFE,Fishing vessel,Iceland,6607379,THORSNES
6487,251253540,MarineTraffic.com,251253540,2014-07-24,TFMP,Fishing,Iceland,,SAEGRIMUR
6486,251251110,MarineTraffic.com,251251110,2014-07-24,TFKJ,Trawler,Iceland,7406356,THORSNES II
6485,251250110,MarineTraffic.com,251250110,2014-07-24,TF-VR,Fishing,Iceland,,VESTRI
6484,251249110,MarineTraffic.com,251249110,2014-07-24,TF-SX,Fishing,Iceland,,FONIX
6483,251248110,MarineTraffic.com,251248110,2014-07-24,TFHA,Fishing vessel,Iceland,8318441,SOLEY
6482,251247110,MarineTraffic.com,251247110,2014-07-24,TFHT,Fishing,Iceland,,SAEFARI
6481,251244110,MarineTraffic.com,251244110,2014-07-24,TFWL,Fishing,Iceland,,GULLTOPPUR
6480,251242110,MarineTraffic.com,251242110,2014-07-24,TFOV,Fishing,Iceland,,RIFSARI SH70
6479,251240110,MarineTraffic.com,251240110,2014-07-24,TFIF,Trawler,Iceland,8812045,DRANGAVIK
6478,251233110,MarineTraffic.com,251233110,2014-07-24,TFNT,Fishing,Iceland,,STEINUNN
6477,251230110,MarineTraffic.com,251230110,2014-07-24,TF-JF,Fishing,Iceland,,GRIMSNES BA-555
6476,251228000,MarineTraffic.com,251228000,2014-07-24,TFPK,Trawler,Iceland,6704892,PALL JONSSON
6475,251227000,MarineTraffic.com,251227000,2014-07-24,TF-OT,Trawler,Iceland,9532707,HEIMAEY
6474,251226000,MarineTraffic.com,251226000,2014-07-24,TFCO,Trawler,Iceland,8318439,BERGLIN
6473,251224110,MarineTraffic.com,251224110,2014-07-24,TF-FC,Fishing,Iceland,,SAEBJORG EA-184
6472,251221000,MarineTraffic.com,251221000,2014-07-24,TFLH,Trawler,Iceland,9395915,ASKELL
6471,251220110,MarineTraffic.com,251220110,2014-07-24,TFOH,Trawler,Iceland,7325485,GUNNBJORN
6470,251219110,MarineTraffic.com,251219110,2014-07-24,TFFJ,Fishing vessel,Iceland,6618031,KRISTIN
6469,251212110,MarineTraffic.com,251212110,2014-07-24,TFQL,Fishing,Iceland,,LUNDEY
6468,251211110,MarineTraffic.com,251211110,2014-07-24,TFWA,Fishing,Iceland,,JOHANNA GISLADOTTIR
6467,251208240,MarineTraffic.com,251208240,2014-07-24,TFTN,Passenger,Iceland,,HILDUR
6466,251203000,MarineTraffic.com,251203000,2014-07-24,TFKI,Fishing vessel,Iceland,9050711,ORVAR
6465,251199000,MarineTraffic.com,251199000,2014-07-24,TF-EA,Fishery research vessel,Iceland,7017466,BJARNI SAEMUNDSSON
6464,251197110,MarineTraffic.com,251197110,2014-07-24,TFGE,Fishing,Iceland,,FARSAELL
6462,251194110,MarineTraffic.com,251194110,2014-07-24,2680,Fishing,Iceland,,SAEHAMAR
6461,251191110,MarineTraffic.com,251191110,2014-07-24,TFDL,Suction hopper dredger,Iceland,7711103,SOLEY
6460,251187110,MarineTraffic.com,251187110,2014-07-24,TFFV,Unspecified,Iceland,,PERLA
6459,251182110,MarineTraffic.com,251182110,2014-07-24,TFTF,Trawler,Iceland,8714528,BALDVIN NJALSSON
6458,251180110,MarineTraffic.com,251180110,2014-07-24,TFIB,Trawler,Iceland,7728601,JON KJARTANSSON
6456,251178110,MarineTraffic.com,251178110,2014-07-24,TFPY,Trawler,Iceland,7607065,BJORGULFUR
6455,251177110,MarineTraffic.com,251177110,2014-07-24,TFFY,Trawler,Iceland,8709808,BJORGVIN
6453,251174000,MarineTraffic.com,251174000,2014-07-24,TFBC,Trawler,Iceland,7363205,KALDBAKUR
6452,251173000,MarineTraffic.com,251173000,2014-07-24,TFJC,Research/survey vessel,Iceland,7363217,POSEIDON
6451,251167110,MarineTraffic.com,251167110,2014-07-24,TFDT,Fishing vessel,Iceland,6410221,GULLHOLMI
6450,251166110,MarineTraffic.com,251166110,2014-07-24,2765,Fishing,Iceland,,AKRABERG
6449,251164000,MarineTraffic.com,251164000,2014-07-24,TFBO,Fishing vessel,Iceland,6721216,STURLA
6447,251160110,MarineTraffic.com,251160110,2014-07-24,TFQF,Fishing,Iceland,,AGUST GK 95
6446,251159110,MarineTraffic.com,251159110,2014-07-24,TFAW,Fishing,Iceland,,VALBJ0RN
6445,251156000,MarineTraffic.com,251156000,2014-07-24,TFPU,Trawler,Iceland,7638387,ASBJORN
6444,251155000,MarineTraffic.com,251155000,2014-07-24,TF-PI,Fishing,Iceland,,ORFIRISEY
6443,251153000,MarineTraffic.com,251153000,2014-07-24,TFAC,Trawler,Iceland,7329297,KLEIFABERG
6442,251152110,MarineTraffic.com,251152110,2014-07-24,1440,Fishing,Iceland,,VALUR IS 20 TF DZ
6441,251151000,MarineTraffic.com,251151000,2014-07-24,TFAI,Trawler,Iceland,7811214,OTTO NO.THORLAKSSON
6440,251145110,MarineTraffic.com,251145110,2014-07-24,TFLD,Trawler,Iceland,7302407,MULABERG
6439,251143110,MarineTraffic.com,251143110,2014-07-24,TFHV,Trawler,Iceland,7311965,LJOSAFELL
6438,251141110,MarineTraffic.com,251141110,2014-07-24,TFBN,Trawler,Iceland,7300722,JON VIDALIN
6437,251140110,MarineTraffic.com,251140110,2014-07-24,2177,Fishing,Iceland,,DADEY
6436,251138740,MarineTraffic.com,251138740,2014-07-24,TFBE,Fishing,Iceland,,ARNTHOR
6435,251136110,MarineTraffic.com,251136110,2014-07-24,TFSP,Fishing vessel,Iceland,6611631,TOMAS THORVALDSSON
6434,251135110,MarineTraffic.com,251135110,2014-07-24,TFVO,Fishing vessel,Iceland,7618026,ISLEIFUR
6433,251130110,MarineTraffic.com,251130110,2014-07-24,TFIL,Unspecified,Iceland,,TUNGUFELL
6432,251129000,MarineTraffic.com,251129000,2014-07-24,TFON,Factory trawler,Iceland,8718885,BARDI
6431,251126110,MarineTraffic.com,251126110,2014-07-24,TFMS,Factory trawler,Iceland,8602878,MALMEY
6430,251125000,MarineTraffic.com,251125000,2014-07-24,TFJJ,Fishing vessel,Iceland,8612378,FAXI
6429,251123000,MarineTraffic.com,251123000,2014-07-24,TFPC,Trawler,Iceland,8901511,THERNEY
6428,251121110,MarineTraffic.com,251121110,2014-07-24,2751,Fishing,Iceland,,INDRIDI KRISTINS
6427,251102000,MarineTraffic.com,251102000,2014-07-24,TFDJ,Factory trawler,Iceland,8709793,HELGA MARIA
6426,251097000,MarineTraffic.com,251097000,2014-07-24,TFNE,Fishing,Iceland,,ORVAR
6425,251092000,MarineTraffic.com,251092000,2014-07-24,TFBA,Trawler,Iceland,8116776,HRAFN
6424,251089000,MarineTraffic.com,251089000,2014-07-24,TFBJ,Trawler,Iceland,9188465,ODDEYRIN
6423,251086000,MarineTraffic.com,251086000,2014-07-24,TFAL,Trawler,Iceland,9395898,SKINNEY
6422,251084110,MarineTraffic.com,251084110,2014-07-24,TFPF,Fishing vessel,Iceland,6811310,SAXHAMAR
6421,251083110,MarineTraffic.com,251083110,2014-07-24,TFRG,Trawler,Iceland,8709810,HRAFN SVEINBJARNARSON
6420,251082000,MarineTraffic.com,251082000,2014-07-24,TFCB,Trawler,Iceland,8812057,EYBORG
6419,251080110,MarineTraffic.com,251080110,2014-07-24,TFCA,Fishing,Iceland,,KOPANES
6418,251079000,MarineTraffic.com,251079000,2014-07-24,TFBY,Trawler,Iceland,6828923,SNAEFELL
6417,251070110,MarineTraffic.com,251070110,2014-07-24,2869,Unspecified,Iceland,,GEISLI
6416,251068110,MarineTraffic.com,251068110,2014-07-24,TFOR,Trawler,Iceland,7631054,FRAR
6415,251065110,MarineTraffic.com,251065110,2014-07-24,TFVX,Fishing vessel,Iceland,5302257,SIGURDUR OLAFSSON
6414,251063000,MarineTraffic.com,251063000,2014-07-24,TFXD,Factory trawler,Iceland,7233096,FRERI
6413,251062110,MarineTraffic.com,251062110,2014-07-24,TFDM,Trawler,Iceland,9048691,VIGRI
6412,251057000,MarineTraffic.com,251057000,2014-07-24,TFAK,Trawler,Iceland,9395903,THORIR
6411,251056110,MarineTraffic.com,251056110,2014-07-24,TFND,Fishing vessel,Iceland,6821638,BIRTINGUR
6410,251055000,MarineTraffic.com,251055000,2014-07-24,TFSD,Fishing,Iceland,,BORKUR
6409,251054110,MarineTraffic.com,251054110,2014-07-24,TFNV,Trawler,Iceland,7237987,BJARTUR
6408,251053110,MarineTraffic.com,251053110,2014-07-24,TFJL,Fishing,Iceland,,VIKINGUR
6407,251050110,MarineTraffic.com,251050110,2014-07-24,TFGH,Trawler,Iceland,8003993,STURLAUGUR H BODVARSSON
6406,251049110,MarineTraffic.com,251049110,2014-07-24,TFPG,Trawler,Iceland,8211851,GULLVER
6405,251048110,MarineTraffic.com,251048110,2014-07-24,TFMB,Fishing,Iceland,,BERGEY
6404,251047110,MarineTraffic.com,251047110,2014-07-24,TFHU,Trawler,Iceland,8704987,HOFRUNGUR III
6403,251046110,MarineTraffic.com,251046110,2014-07-24,TFYT,Fishing,Iceland,,HALLDOR SIGURDSSON
6402,251045000,MarineTraffic.com,251045000,2014-07-24,TFPW,Trawler,Iceland,5139650,ISBORG
6401,251044110,MarineTraffic.com,251044110,2014-07-24,TFRJ,Fishing,Iceland,,GUNNAR BJARNASON
6400,251043110,MarineTraffic.com,251043110,2014-07-24,TFHP,Fishing,Iceland,,HOPSNES GK 77
6399,251040000,MarineTraffic.com,251040000,2014-07-24,TF-VM,Trawler,Iceland,7511539,KLAKKUR
6398,251039110,MarineTraffic.com,251039110,2014-07-24,2158,Fishing vessel,Iceland,9050709,TJALDUR
6397,251038000,MarineTraffic.com,251038000,2014-07-24,TF AH,Trawler,Iceland,7212248,MANABERG
6396,251036110,MarineTraffic.com,251036110,2014-07-24,TFKU,Trawler,Iceland,8803513,JULIUS GEIRMUNDSSON
6395,251035000,MarineTraffic.com,251035000,2014-07-24,TFGM,Trawler,Iceland,7424683,STEFNIR
6394,251034000,MarineTraffic.com,251034000,2014-07-24,TFYG,Trawler,Iceland,9211810,GULLBERG
6393,251032110,MarineTraffic.com,251032110,2014-07-24,TFAN,Fishing,Iceland,,MAGGY
6392,251031110,MarineTraffic.com,251031110,2014-07-24,TFKN,Fishing vessel,Iceland,6930219,FRIDRIK SIGURDSSON
6391,251030110,MarineTraffic.com,251030110,2014-07-24,TFRL,Fishing,Iceland,,ARNAR AR 55
6390,251029000,MarineTraffic.com,251029000,2014-07-24,TFKT,Trawler,Iceland,7223223,VENUS
6389,251026000,MarineTraffic.com,251026000,2014-07-24,TFAO,Trawler,Iceland,8117550,GNUPUR
6388,251025110,MarineTraffic.com,251025110,2014-07-24,TFKR,Trawler,Iceland,7234167,PALL PALSSON
6387,251021110,MarineTraffic.com,251021110,2014-07-24,TF-HQ,Fishing,Iceland,,BYLGJA VE-75
6386,251019110,MarineTraffic.com,251019110,2014-07-24,TFOS,Trawler,Iceland,9015058,SUDUREY
6385,251018000,MarineTraffic.com,251018000,2014-07-24,TFYS,Fishing vessel,Iceland,7102534,SIGLUNES
6384,251015000,MarineTraffic.com,251015000,2014-07-24,TF MO,Trawler,Iceland,7702669,SIGURBJORG
6383,251013000,MarineTraffic.com,251013000,2014-07-24,TFUN,Fishing,Iceland,,STIGANDI
6382,251011000,MarineTraffic.com,251011000,2014-07-24,TFTV,Trawler,Iceland,8303410,BRYNJOLFUR
6380,250183000,MarineTraffic.com,250183000,2014-07-24,EI5772,Trawler,Ireland,9213442,ATLANTIC CHALLENGE
6379,250001885,MarineTraffic.com,250001885,2014-07-24,EIIC3,Fishing,Ireland,,VELVET CHORD II
6375,249947000,MarineTraffic.com,249947000,2014-07-24,9HA2091,Bulk carrier,Malta,9425148,IOLCOS VISION
6374,249945000,MarineTraffic.com,249945000,2014-07-24,9HA2089,Bulk carrier,Malta,9425124,IOLCOS PRIDE
6373,249917000,MarineTraffic.com,249917000,2014-07-24,9HA2072,Container ship,Malta,9401099,CMA CGM MOLIERE
6372,249911000,MarineTraffic.com,249911000,2014-07-24,9HA2068,Oil/chemical tanker,Malta,9445370,DUZGIT HARMONY
6371,249909000,MarineTraffic.com,249909000,2014-07-24,9HA2067,Vehicles carrier,Malta,9515400,TYSLA
6370,249904000,MarineTraffic.com,249904000,2014-07-24,9HA2066,Vehicles carrier,Malta,9515383,TONSBERG
6369,249900000,MarineTraffic.com,249900000,2014-07-24,9HAH9,Bulk carrier,Malta,9216406,LEVANTO
6368,249895000,MarineTraffic.com,249895000,2014-07-24,9HA2061,Bulk carrier,Malta,9146974,AROSA
6366,249885000,MarineTraffic.com,249885000,2014-07-24,9HA2055,Bulk carrier,Malta,9468619,KARVUNA
6365,249883000,MarineTraffic.com,249883000,2014-07-24,9HA2054,Bulk carrier,Malta,9403190,DENSA DOLPHIN
6364,249876000,MarineTraffic.com,249876000,2014-07-24,9HA2052,Bulk carrier,Malta,9316672,MARIBELLA
6362,249848000,MarineTraffic.com,249848000,2014-07-24,9HA2039,Crude oil tanker,Malta,9413834,PATROCLUS
6361,249837000,MarineTraffic.com,249837000,2014-07-24,9HA2032,Container ship,Malta,9302944,NILEDUTCH GAZELLE
6359,249827000,MarineTraffic.com,249827000,2014-07-24,9HA2027,Bulk carrier,Malta,9115004,SEA ROSE
6357,249817000,MarineTraffic.com,249817000,2014-07-24,9HA2020,Oil/chemical tanker,Malta,9445368,DUZGIT VENTURE
6356,249815000,MarineTraffic.com,249815000,2014-07-24,9HA2019,General cargo,Malta,9136888,EKMEN
6355,249810000,MarineTraffic.com,249810000,2014-07-24,9LB2351,Oil/chemical tanker,Malta,8510489,SICHEM FENOL I
6354,249806000,MarineTraffic.com,249806000,2014-07-24,9HA2015,Bulk carrier,Malta,9282742,OKTEM AKSOY
6353,249782000,MarineTraffic.com,249782000,2014-07-24,9HA2008,Crude oil tanker,Malta,9408683,PROFIT
6352,249779000,MarineTraffic.com,249779000,2014-07-24,9HA2004,Oil/chemical tanker,Malta,9399923,BULL
6351,249778000,MarineTraffic.com,249778000,2014-07-24,9HA2003,Oil/chemical tanker,Malta,9399935,BUDDY
6350,249763000,MarineTraffic.com,249763000,2014-07-24,9HZX9,Bulk carrier,Malta,9251080,CRUX
6349,249737000,MarineTraffic.com,249737000,2014-07-24,9HZF9,Lpg tanker,Malta,9354624,HELLAS SERENITY
6348,249719000,MarineTraffic.com,249719000,2014-07-24,9HYV9,Bulk carrier,Malta,9129627,KARYSTOS
6347,249712000,MarineTraffic.com,249712000,2014-07-24,9HYQ9,General cargo,Malta,9393230,MARCIANA
6346,249689000,MarineTraffic.com,249689000,2014-07-24,9HWC8,Oil/chemical tanker,Malta,9334301,NORTHSEA LOGIC
6345,249687000,MarineTraffic.com,249687000,2014-07-24,9HYA9,Bulk carrier,Malta,9413690,RAPALLO
6343,249672000,MarineTraffic.com,249672000,2014-07-24,9HXG9,Oil/chemical tanker,Malta,9479553,GUNES K
6342,249662000,MarineTraffic.com,249662000,2014-07-24,9HZA9,Bulk carrier,Malta,9231377,VITASPIRIT
6341,249648000,MarineTraffic.com,249648000,2014-07-24,9HWT9,Bulk carrier,Malta,9218789,MARICHRISTINA
6340,249644000,MarineTraffic.com,249644000,2014-07-24,9HWS9,Oil/chemical tanker,Malta,9396763,PYXIS MALOU
6338,249619000,MarineTraffic.com,249619000,2014-07-24,9HWA9,Bulk carrier,Malta,9538402,PROUD
6337,249601000,MarineTraffic.com,249601000,2014-07-24,9HVQ9,Bulk carrier,Malta,9522738,SATIGNY
6335,249598000,MarineTraffic.com,249598000,2014-07-24,9HVO9,Oil/chemical tanker,Malta,9447067,SELENKA
6334,249585000,MarineTraffic.com,249585000,2014-07-24,9HVF9,General cargo,Malta,9188934,EMONA
6333,249580000,MarineTraffic.com,249580000,2014-07-24,9HVB9,Crude oil tanker,Malta,9485631,UACC IBN AL HAITHAM
6332,249563000,MarineTraffic.com,249563000,2014-07-24,9HUV9,Bulk carrier,Malta,9304100,MANNA
6331,249562000,MarineTraffic.com,249562000,2014-07-24,9HUU9,Bulk carrier,Malta,9236092,KARTERIA
6330,249560000,MarineTraffic.com,249560000,2014-07-24,9HUP9,Anchor handling vessel,Malta,8206961,AGAT
6329,249534000,MarineTraffic.com,249534000,2014-07-24,9HTP9,Oil/chemical tanker,Malta,9396024,SICHEM OSPREY
6328,249529000,MarineTraffic.com,249529000,2014-07-24,9HXZ4,Ro-ro cargo,Malta,8302301,DIVIO
6326,249498000,MarineTraffic.com,249498000,2014-07-24,9HTU9,Oil/chemical tanker,Malta,9447055,MANAS
6325,249468000,MarineTraffic.com,249468000,2014-07-24,9HSV9,Oil products tanker,Malta,9395721,ANUKET TOPAZ
6324,249458000,MarineTraffic.com,249458000,2014-07-24,9HSO9,Oil/chemical tanker,Malta,9396751,ISOLA CORALLO
6323,249442000,MarineTraffic.com,249442000,2014-07-24,9HSB9,Bulk carrier,Malta,9133290,KATHERINE
6321,249416000,MarineTraffic.com,249416000,2014-07-24,9HRM9,Bulk carrier,Malta,9492933,SALTINA
6320,249409000,MarineTraffic.com,249409000,2014-07-24,9HRJ9,Passengers ship,Malta,9362530,CELEBRITY SOLSTICE
6319,249408000,MarineTraffic.com,249408000,2014-07-24,9HRI9,General cargo,Malta,9232199,NATALIE BROOK
6318,249389000,MarineTraffic.com,249389000,2014-07-24,9H9379,Sailing Vessel,Malta,,SAUDADE
6317,249379000,MarineTraffic.com,249379000,2014-07-24,9HQS9,Oil/chemical tanker,Malta,9380415,DUZGIT INTEGRITY
6316,249357000,MarineTraffic.com,249357000,2014-07-24,9HQH9,Oil/chemical tanker,Malta,9373242,MALMO
6314,249308000,MarineTraffic.com,249308000,2014-07-24,9HPE9,Bulk carrier,Malta,9366108,MARY GORGIAS
6313,249305000,MarineTraffic.com,249305000,2014-07-24,9HPC9,Bulk carrier,Malta,9284570,FLECHA
6312,249294000,MarineTraffic.com,249294000,2014-07-24,9HOV9,Oil/chemical tanker,Malta,9397511,LYSIAS
6311,249290000,MarineTraffic.com,249290000,2014-07-24,9HOQ9,Bulk carrier,Malta,9421831,MYSTIC
6309,249280000,MarineTraffic.com,249280000,2014-07-24,9HOL9,Bulk carrier,Malta,9310408,SORRENTO
6308,249276000,MarineTraffic.com,249276000,2014-07-24,9HOJ9,Oil/chemical tanker,Malta,9376933,SICHEM DUBAI
6306,249263000,MarineTraffic.com,249263000,2014-07-24,9HOD9,Oil/chemical tanker,Malta,9396787,ISOLA CELESTE
6305,249250000,MarineTraffic.com,249250000,2014-07-24,9HNU9,Container ship,Malta,9020950,GITTE
6303,249213000,MarineTraffic.com,249213000,2014-07-24,9HNC9,Oil/chemical tanker,Malta,9393383,SICHEM ORCHID
6302,249204000,MarineTraffic.com,249204000,2014-07-24,9HMY9,General cargo,Malta,9164811,LADY ANTHULA H
6301,249174000,MarineTraffic.com,249174000,2014-07-24,9HMG9,Bulk carrier,Malta,9286920,BALTIA
6299,249115000,MarineTraffic.com,249115000,2014-07-24,9HKZ9,Bulk carrier,Malta,9304186,LOWLANDS NELLO
6298,249109000,MarineTraffic.com,249109000,2014-07-24,9HKV9,Bulk carrier,Malta,9145889,CORVUS
6297,249074000,MarineTraffic.com,249074000,2014-07-24,9HJY9,General cargo,Malta,9171383,COSTANZA
6296,249055000,MarineTraffic.com,249055000,2014-07-24,9HJF9,Passengers ship,Malta,9189419,CELEBRITY MILLENNIUM
6295,249054000,MarineTraffic.com,249054000,2014-07-24,9HJI9,Passengers ship,Malta,9072446,CELEBRITY CENTURY
6294,249048000,MarineTraffic.com,249048000,2014-07-24,9HJD9,Passengers ship,Malta,9189421,CELEBRITY INFINITY
6293,249047000,MarineTraffic.com,249047000,2014-07-24,9HJC9,Passengers ship,Malta,9192387,CELEBRITY SUMMIT
6292,249045000,MarineTraffic.com,249045000,2014-07-24,9HIY9,Bulk carrier,Malta,9303845,LOWLANDS PHOENIX
6291,249029000,MarineTraffic.com,249029000,2014-07-24,9HIO9,Bulk carrier,Malta,9363065,PETANI
6290,249028000,MarineTraffic.com,249028000,2014-07-24,9HIN9,Oil/chemical tanker,Malta,9418793,MRC SEMIRAMIS
6289,248981000,MarineTraffic.com,248981000,2014-07-24,9HA2599,General cargo,Malta,9371907,MCP BILBAO
6288,248967000,MarineTraffic.com,248967000,2014-07-24,9HA2592,Bulk carrier,Malta,9116319,NAHIDE M
6287,248931000,MarineTraffic.com,248931000,2014-07-24,9HA2581,Container ship,Malta,9161297,MSC PAOLA
6286,248930000,MarineTraffic.com,248930000,2014-07-24,9HA2580,Container ship,Malta,9155107,MSC MARIA PIA
6284,248876000,MarineTraffic.com,248876000,2014-07-24,9HA2562,Bulk carrier,Malta,9434371,ANANGEL SEAFARER
6283,248875000,MarineTraffic.com,248875000,2014-07-24,9HA2559,Bulk carrier,Malta,9586435,SIDER ALICUDI
6282,248859000,MarineTraffic.com,248859000,2014-07-24,9HA2551,Bulk carrier,Malta,9527922,CAPE ELEKTRA
6281,248853000,MarineTraffic.com,248853000,2014-07-24,9HA2549,Bulk carrier,Malta,9453731,ANGEL
6280,248852000,MarineTraffic.com,248852000,2014-07-24,9HA2548,Bulk carrier,Malta,9453743,PRETTY
6279,248847000,MarineTraffic.com,248847000,2014-07-24,9HB2088,Unspecified,Malta,,GLISS
6278,248846000,MarineTraffic.com,248846000,2014-07-24,9HA2546,Container ship,Malta,9443047,HANJIN ALGECIRAS
6277,248828000,MarineTraffic.com,248828000,2014-07-24,9HA2531,Bulk carrier,Malta,9577434,AGGELOS B
6276,248816000,MarineTraffic.com,248816000,2014-07-24,9HA2525,Oil/chemical tanker,Malta,9272565,SAN BENJAMINO
6274,248780000,MarineTraffic.com,248780000,2014-07-24,9HRL6,Bulk carrier,Malta,7610103,WILSON MARIN
6273,248779000,MarineTraffic.com,248779000,2014-07-24,9HA2510,Bulk carrier,Malta,9584138,ALMYROS
6272,248775000,MarineTraffic.com,248775000,2014-07-24,9HA2508,Bulk carrier,Malta,9580118,SEA MELODY
6271,248746000,MarineTraffic.com,248746000,2014-07-24,9HA2496,Bulk carrier,Malta,9586588,DALO Z
6269,248731000,MarineTraffic.com,248731000,2014-07-24,9HA2487,Bulk carrier,Malta,9105231,SEA LORD
6268,248721000,MarineTraffic.com,248721000,2014-07-24,9HA2482,Bulk carrier,Malta,9564138,VITOSHA
6267,248708000,MarineTraffic.com,248708000,2014-07-24,9HA2479,Passengers ship,Malta,8314122,HENNA
6265,248678000,MarineTraffic.com,248678000,2014-07-24,9HA2466,General cargo,Malta,9430997,WILSON NORFOLK
6264,248675000,MarineTraffic.com,248675000,2014-07-24,9HA2464,General cargo,Malta,9430961,WILSON NARVIK
6263,248674000,MarineTraffic.com,248674000,2014-07-24,9HA2463,General cargo,Malta,9430973,WILSON NANTES
6262,248639000,MarineTraffic.com,248639000,2014-07-24,9HA2450,Bulk carrier,Malta,9432488,DENSA EAGLE
6261,248635000,MarineTraffic.com,248635000,2014-07-24,9HA2447,Bulk carrier,Malta,9104158,MARAKI
6259,248627000,MarineTraffic.com,248627000,2014-07-24,9HA2443,Oil/chemical tanker,Malta,9404364,BLUE GARNET
6258,248618000,MarineTraffic.com,248618000,2014-07-24,9HA2440,Yacht,Malta,9594030,EXUMA
6257,248610000,MarineTraffic.com,248610000,2014-07-24,9HA2434,Crude oil tanker,Malta,9174660,MARAN CAPELLA
6256,248582000,MarineTraffic.com,248582000,2014-07-24,9HA2427,Oil/chemical tanker,Malta,9395874,ANUKET CORAL
6254,248565000,MarineTraffic.com,248565000,2014-07-24,9HA2417,Bulk carrier,Malta,9432476,DENSA TIGER
6252,248560000,MarineTraffic.com,248560000,2014-07-24,9HA2412,Container ship,Malta,9436070,SEABOXER III
6251,248553000,MarineTraffic.com,248553000,2014-07-24,9HA2409,Oil/chemical tanker,Malta,9503926,SHANNON STAR
6250,248550000,MarineTraffic.com,248550000,2014-07-24,9HA2407,Bulk carrier,Malta,9583550,PERTH I
6249,248546000,MarineTraffic.com,248546000,2014-07-24,OBPP,Oil products tanker,Malta,8623937,ZORRITOS
6248,248540000,MarineTraffic.com,248540000,2014-07-24,9HIT6,Bulk carrier,Malta,9104586,GLYFADA
6247,248530000,MarineTraffic.com,248530000,2014-07-24,9HA2397,Crude oil tanker,Malta,9419890,PINK
6246,248483000,MarineTraffic.com,248483000,2014-07-24,9HA2382,Oil/chemical tanker,Malta,9508093,ERRIA V
6245,211424430,MarineTraffic.com,211424430,2014-07-24,DHQS,Container ship,Germany,9248150,CONTI MADRID
6244,211394200,MarineTraffic.com,211394200,2014-07-24,DFHA,Container ship,Germany,9231755,HANJIN TAIPEI
6243,211387390,MarineTraffic.com,211387390,2014-07-24,DGHX,Container ship,Germany,9229855,BERLIN EXPRESS
6242,211382280,MarineTraffic.com,211382280,2014-07-24,DHEB,Container ship,Germany,9229843,NINGBO EXPRESS
6241,211377300,MarineTraffic.com,211377300,2014-07-24,DHZQ,Container ship,Germany,9215646,HANJIN GENEVA
6240,211373830,MarineTraffic.com,211373830,2014-07-24,DFIA,Factory trawler,Germany,9048902,BALDVIN
6239,211343310,MarineTraffic.com,211343310,2014-07-24,DHDM,Container ship,Germany,9200689,HANJIN COPENHAGEN
6238,211331640,MarineTraffic.com,211331640,2014-07-24,DHBN,Container ship,Germany,9193305,SEOUL EXPRESS
6237,211327410,MarineTraffic.com,211327410,2014-07-24,DGTX,Container ship,Germany,9193290,TOKYO EXPRESS
6236,211288580,MarineTraffic.com,211288580,2014-07-24,DGZO,Container ship,Germany,9153408,UTE OLTMANN
6234,211274670,MarineTraffic.com,211274670,2014-07-24,DMMC,Passengers ship,Germany,9141807,DEUTSCHLAND
6233,211272580,MarineTraffic.com,211272580,2014-07-24,DEOT,Factory trawler,Germany,8704999,ATLANTIC PEACE
